who	cuisine	genre	purpose	hotorcold	taste	materials	when	color	is_standard	url
2	親子丼	japanese	main	hot	salty,sweet	rice,meat	lunch,dinner	yellow,green,white	TRUE	https://c-chefgohan.gnst.jp/imgdata/recipe/89/00/89/rc234x174_1209090546_ea8ef861fa007bf83a810b3c6fc9a589.jpg
2	玉子焼き	japanese	side	hot	salty,sweet	NULL	breakfast	yellow	TRUE	https://c-chefgohan.gnst.jp/imgdata/recipe/90/00/90/rc234x174_1209090617_e73e7d03237e70e759dfd90c84c24733.jpg
2	鶏のから揚げ	japanese	side	hot	salty	meat	lunch,dinner	brown	TRUE	https://c-chefgohan.gnst.jp/imgdata/recipe/91/00/91/rc234x174_1209091011_6722e12fa22673b3f1afb583c653d71e.jpg
0	肉じゃが	japanese	side	hot	saily,sweet	meat,vegetable	dinner	brown,green,red	TRUE	https://c-chefgohan.gnst.jp/imgdata/recipe/95/00/95/rc234x174_1209140727_8e07f0cac6be1fd35c46b3f1362f01c8.jpg
1	天ぷら	japanese	side	hot	salty	fish,vegetable	lunch,dinner	yellow,red,green	TRUE	https://c-chefgohan.gnst.jp/imgdata/recipe/96/00/96/rc234x174_1209101254_a36da1057803edf114a64f5577312f10.jpg
2	きんぴら	japanese	side	hot	salty,spicy	vegetable	lunch,dinner	brown	TRUE	https://c-chefgohan.gnst.jp/imgdata/recipe/97/00/97/rc234x174_1209100104_35e456fb47a0b7c6d061ce61f8c3b01d.jpg
0	鶏の照り焼き	japanese	side	hot	salty,sweet	meat	dinner	brown	TRUE	https://c-chefgohan.gnst.jp/imgdata/recipe/98/00/98/rc234x174_1209100139_b5b0dc953a5c5fdb1927a85488d70c9c.jpg
2	五目炊き込みごはん	japanese	main	hot	salty	rice	dinner	brown,white	TRUE	https://c-chefgohan.gnst.jp/imgdata/recipe/47/01/147/rc234x174_1209130110_33f506fac8475c71df52116439c391c4.jpg
0	筍ごはん	japanese	main	hot	daily,salty,bitter	rice	dinner	yellow	TRUE	https://c-chefgohan.gnst.jp/imgdata/recipe/48/01/148/rc234x174_1304031027_59d04c61fad206b6dfaeb1086311a75f.jpg
2	おでん	japanese	main	hot	salty	vegetable	dinner	brown,white	TRUE	https://c-chefgohan.gnst.jp/imgdata/recipe/49/01/149/rc234x174_1209130113_73dc9aa8f6b508a75a4c37154864d8ef.jpg
1	すき焼き	japanese	side	hot	sweet	meat,vegetable	lunch,dinner	red,brown,white,green	TRUE	https://c-chefgohan.gnst.jp/imgdata/recipe/50/01/150/rc234x174_1209130115_fc7be4142f59e9ab11a8a92e472114b0.jpg
0	切り干し大根の煮物	japanese							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/51/01/151/rc234x174_1209130243_de5609b517e1c2163659042a22109303.jpg
0	ひじきの煮物	japanese	side	hot	salty,sweet	NULL	dinner,breakfast	black,brown	TRUE	https://c-chefgohan.gnst.jp/imgdata/recipe/52/01/152/rc234x174_1209130245_bf46f9de4a840f5071a637f0281875bb.jpg
1	ブリ大根	japanese	side	hot	salty,sweet	fish,vegetable	dinner	brown	TRUE	https://c-chefgohan.gnst.jp/imgdata/recipe/53/01/153/rc234x174_1701131626_060a10d482df31ba8ace68ed1a270c14.jpg
0	さばの味噌煮	japanese	side	hot	salty,sweet	fish	lunch,dinner	brown,yellow	TRUE	https://c-chefgohan.gnst.jp/imgdata/recipe/54/01/154/rc234x174_1209140251_85df1a7878455c8a705aaaaa6c4cef3e.jpg
0	生姜焼き	japanese	side	hot	salty	meat	lunch,dinner	brown	TRUE	https://c-chefgohan.gnst.jp/imgdata/recipe/55/01/155/rc234x174_1209130248_7ee7f5db56c509f6bbe672760147c960.jpg
